MSFT (MICROSOFT CORP),46.26,-1.07,
Aug 11 2015 @ 11:59 ET,Bid,46.25,Ask,46.26,Size,38x6,Vol,8739000,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
15 Aug 38.50 (MSFT1514H38.5-J),0.0,0.0,7.75,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-J),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-O),9.10,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-O),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-P),0.0,0.0,7.45,8.00,0,2,15 Aug 38.50 (MSFT1514T38.5-P),0.0,0.0,0.0,0.0,0,7,
15 Aug 38.50 (MSFT1514H38.5-S),0.0,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-S),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-X),0.0,0.0,7.60,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-X),0.20,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-Y),0.0,0.0,7.75,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-Y),0.0,0.0,0.0,0.38,0,7,
15 Aug 39.00 (MSFT1514H39),7.00,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-4),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-4),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-8),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-8),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-A),0.0,0.0,7.15,7.50,0,24,15 Aug 39.00 (MSFT1514T39-A),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-B),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-B),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-E),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-E),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-I),0.0,0.0,5.25,7.45,0,24,15 Aug 39.00 (MSFT1514T39-I),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-J),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-J),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-O),7.00,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-O),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-P),0.0,0.0,6.80,7.45,0,24,15 Aug 39.00 (MSFT1514T39-P),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-S),0.0,0.0,7.15,7.50,0,24,15 Aug 39.00 (MSFT1514T39-S),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-X),0.0,0.0,7.05,7.80,0,24,15 Aug 39.00 (MSFT1514T39-X),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.00 (MSFT1514H39-Y),0.0,0.0,7.15,7.45,0,24,15 Aug 39.00 (MSFT1514T39-Y),0.0,0.0,0.0,0.11,0,0,
15 Aug 39.50 (MSFT1514H39.5),6.65,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-4),0.0,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-4),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-8),0.0,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-8),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-A),0.0,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-A),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-B),0.0,0.0,6.75,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-B),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-E),6.45,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-E),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-I),6.55,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-I),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-J),0.0,0.0,6.75,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-J),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-O),6.65,0.0,6.75,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-O),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-P),0.0,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-P),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-S),0.0,0.0,6.75,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-S),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-X),0.0,0.0,6.70,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-X),0.0,0.0,0.0,0.38,0,0,
15 Aug 39.50 (MSFT1514H39.5-Y),0.0,0.0,6.75,6.95,0,42,15 Aug 39.50 (MSFT1514T39.5-Y),0.0,0.0,0.0,0.38,0,0,
15 Aug 40.00 (MSFT1514H40),7.25,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40),0.01,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-4),8.08,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-4),0.01,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-8),0.0,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-8),0.07,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-A),0.0,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-A),0.03,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-B),0.0,0.0,6.25,6.45,0,136,15 Aug 40.00 (MSFT1514T40-B),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-E),7.50,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-E),0.11,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-I),7.25,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-I),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-J),0.0,0.0,6.25,6.45,0,136,15 Aug 40.00 (MSFT1514T40-J),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-O),7.25,0.0,6.25,6.45,0,136,15 Aug 40.00 (MSFT1514T40-O),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-P),7.25,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-P),0.11,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-S),0.0,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-S),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-X),7.34,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-X),0.05,0.0,0.0,0.13,0,44,
15 Aug 40.00 (MSFT1514H40-Y),4.49,0.0,6.20,6.45,0,136,15 Aug 40.00 (MSFT1514T40-Y),0.0,0.0,0.0,0.13,0,44,
15 Aug 40.50 (MSFT1514H40.5),6.05,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5),0.17,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-4),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-4),0.17,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-8),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-8),0.33,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-A),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-A),0.0,0.0,0.0,0.0,0,30,
15 Aug 40.50 (MSFT1514H40.5-B),0.0,0.0,5.75,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-B),0.0,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-E),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-E),0.0,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-I),5.80,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-I),0.0,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-J),0.0,0.0,5.75,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-J),0.0,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-O),6.05,0.0,5.75,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-O),0.45,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-P),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-P),0.0,0.0,0.0,0.0,0,30,
15 Aug 40.50 (MSFT1514H40.5-S),6.05,0.0,5.75,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-S),0.45,0.0,0.0,0.38,0,30,
15 Aug 40.50 (MSFT1514H40.5-X),0.0,0.0,5.70,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-X),0.0,0.0,0.0,0.38,0,30,
